DEPT,DT,GR,M2R1,M2R2,M2R3,M2R6,M2R9,M2RX,SP,ZDEN
M,US/FT,gAPI,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,mV,G/C3
1278.5001,104.3703,86.562,0.77,0.77,0.78,0.78,0.78,0.78,-999.25,-999.25
1278.6001,104.1716,85.5157,0.77,0.77,0.78,0.78,0.78,0.78,-999.25,-999.25
1278.7001,103.9728,84.4739,0.77,0.77,0.78,0.78,0.78,0.78,-999.25,-999.25
1278.8001,103.7532,83.4598,0.7715,0.7715,0.7815,0.7815,0.78,0.78,-999.25,-999.25
1278.9001,103.3247,82.4134,0.7846,0.7846,0.7946,0.7946,0.78,0.78,-999.25,-999.25
1279.0001,102.8939,81.3711,0.7979,0.7979,0.8079,0.8079,0.7879,0.7879,-999.25,-999.25
1279.1001,102.4743,80.4779,0.8108,0.8108,0.8208,0.8208,0.8013,0.8013,-999.25,-999.25
1279.2001,102.0438,81.2281,0.824,0.824,0.8341,0.8341,0.8211,0.8211,-999.25,-999.25
1279.3001,101.6136,81.9933,0.8336,0.8336,0.8473,0.8473,0.8373,0.8373,-999.25,-999.25
1279.4001,101.2024,82.7677,0.8399,0.8399,0.8597,0.8597,0.8497,0.8497,-999.25,-999.25
1279.5001,101.2336,84.8841,0.8333,0.8333,0.8465,0.8465,0.8365,0.8365,-999.25,-999.25
1279.6001,101.2659,86.947,0.8236,0.8236,0.8336,0.8336,0.8204,0.8204,-999.25,-999.25
1279.7001,101.299,89.0581,0.8104,0.8104,0.8204,0.8204,0.8006,0.8006,-999.25,-999.25
1279.8001,101.3321,91.1625,0.81,0.81,0.82,0.82,0.7872,0.7872,-999.25,-999.25
1279.9001,101.3644,92.1608,0.81,0.81,0.82,0.82,0.783,0.783,-999.25,-999.25
1280.0001,101.3974,91.853,0.81,0.81,0.82,0.82,0.7895,0.7895,-999.25,-999.25
1280.1001,101.3081,91.5292,0.81,0.81,0.82,0.82,0.7961,0.7961,-999.25,-999.25
1280.2001,101.2112,91.2129,0.81,0.81,0.82,0.82,0.8026,0.8026,-999.25,-999.25
1280.3001,101.1119,90.8884,0.81,0.81,0.82,0.82,0.8092,0.8092,-999.25,-999.25
1280.4001,101.015,90.5721,0.81,0.81,0.82,0.82,0.81,0.81,-999.25,-999.25
1280.5001,100.9156,90.2473,0.8146,0.8146,0.8246,0.8246,0.8192,0.8192,-999.25,-999.25
1280.6001,100.8166,89.9301,0.8279,0.8279,0.8379,0.8379,0.8457,0.8457,-999.25,-999.25
1280.7001,100.7625,90.6733,0.8408,0.8408,0.8561,0.8561,0.8661,0.8661,-999.25,-999.25
1280.8001,100.7141,91.6556,0.856,0.856,0.874,0.874,0.886,0.886,-999.25,-999.25
1280.9001,100.6612,92.6359,0.8758,0.8758,0.8872,0.8872,0.9059,0.9059,-999.25,-999.25
1281.0001,100.6145,93.5974,0.8902,0.8902,0.9002,0.9002,0.9253,0.9253,-999.25,-999.25
1281.1001,100.5664,94.5838,0.9034,0.9034,0.9151,0.9151,0.9451,0.9451,-999.25,-999.25
1281.2001,100.5135,95.5705,0.9164,0.9164,0.9347,0.9347,0.9646,0.9646,-999.25,-999.25
1281.3001,100.4666,96.5276,0.9104,0.9104,0.9304,0.9304,0.9556,0.9556,-999.25,-999.25
1281.4001,100.4189,96.9541,0.8958,0.8958,0.9172,0.9172,0.9358,0.9358,-999.25,-999.25
1281.5001,100.3671,95.3568,0.8764,0.8764,0.9043,0.9043,0.9164,0.9164,-999.25,-999.25
1281.6001,100.3186,93.7172,0.8565,0.8565,0.891,0.891,0.8965,0.8965,-999.25,-999.25
1281.7001,100.2712,92.0757,0.84,0.84,0.8778,0.8778,0.8767,0.8767,-999.25,-999.25
1281.8001,100.2195,90.4739,0.84,0.84,0.8649,0.8649,0.8573,0.8573,-999.25,-999.25
1281.9001,100.0662,90.0753,0.8358,0.8358,0.8558,0.8558,0.8458,0.8458,-999.25,-999.25
1282.0001,99.8541,90.4001,0.8292,0.8292,0.8492,0.8492,0.8392,0.8392,-999.25,-999.25
